Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Days,Marital,Spent,Family_Size,col1,col2,col3,col4
0,58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,92,2,1617,1,-2.9602454797552817,0.3712389907993498,3.415068503727558,1.0990185066827525
0,46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,938,2,27,3,1.999954135339005,-0.6039150085617849,-1.6152948285140927,-1.0889510187480937
0,71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,591,3,776,2,-1.9593961869795429,-0.35182843709917383,-0.3256621360714941,-0.00980981752980098
0,26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,998,3,53,3,2.2165704784563274,-1.3518697004590976,-0.893623581528655,-0.7547935815727422
1,58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,742,1,422,3,0.42377451634688307,0.4442812286738831,-0.5868652032640435,0.8403250177004686
1,33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,575,1,169,3,2.0334938203752775,-0.4963408402674968,0.6981887542877082,-0.3029374167956085
1,30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,515,3,46,3,2.2784152901167407,-0.968313495465043,2.3404275090092597,-0.8500292229439536
2,7500.0,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,310,1,61,2,1.953726875731848,-1.5397529238845145,1.5009899473834132,1.0654326663139075
0,63033.0,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,677,0,1102,1,-2.2093904626844316,-1.78025933910315,-0.6949647230363384,0.7217768914345769
1,59354.0,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,677,0,310,3,0.9094633327093251,0.9427013674814635,-0.5238425341067855,-0.6966956612358142
0,17323.0,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,276,1,46,2,1.749810881932117,-1.4674644843890114,1.3115303008815562,0.6512340716137999
1,82800.0,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,321,2,1315,1,-3.985853757938641,-0.5254209278981689,2.106162141081539,-0.5752344781875239
0,37760.0,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,236,3,317,2,0.36498327765668115,-0.4871214695162002,1.1622589703190385,0.6189441177301608
2,33812.0,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,63,2,133,2,1.6662736949052657,-0.9285812597171276,1.355989516610242,2.1509031608579376
0,37040.0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,213,1,316,2,0.38900904000325454,-0.6958900164444356,1.3845931690014228,0.8273962727339882
1,65324.0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,1028,1,544,3,-0.7780279771622034,0.6220644290917817,-1.4617039888431844,-2.469411418267492
0,18589.0,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,390,2,75,1,1.1292156856184086,-1.6047019916755285,0.7841933796286172,2.11575027709757
0,38360.0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,509,1,131,3,1.306267309326665,-1.0395090973203378,-0.12843867926091718,-0.5618973665915081
1,84618.0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,684,1,1672,2,-3.849257736153243,-0.6073254682786732,-1.0680506613654022,1.1332860196389845
1,10979.0,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,865,0,30,1,1.1720077388375203,-2.314995385627431,0.37100750816224953,-0.7078747264686983
1,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,667,3,318,2,-0.14239288895642255,-1.9920742931602593,-0.5492668384099539,0.5775037502010129
0,40548.0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,276,3,120,3,1.0341531588323338,0.24323642071096893,-0.25349794942777254,0.1699928375376572
1,68657.0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,409,1,1196,2,-1.653258624100129,-0.6534185431778963,0.9756404215409045,-0.6058925797659462
1,49389.0,1,1,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,599,2,65,3,2.0707520296582116,-0.22538251980271146,-0.6402253242722377,-0.03955758368138706
2,23718.0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,398,1,81,3,2.4136128670738093,-0.45870662789241085,0.8864569963340785,1.0512575799137671
0,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1029,0,67,2,0.9781027606895492,-1.1046286514985355,-1.871679268945849,0.13443640970130624
1,48948.0,0,0,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,360,0,902,1,-2.42323150797425,-0.5754246612911256,2.962046352205061,-0.04622372569219308
1,20559.0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,695,1,53,3,2.681634209468244,-0.9860579865496314,0.006976724572767444,0.9920858939920602
0,21994.0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,351,3,22,3,1.8626787374802558,-0.5977702968096373,-0.1899816661004276,-0.6160502300495598
1,7500.0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,399,1,31,3,2.5755433447038736,-0.786919873231347,0.9406122159385402,-0.41936271346188114
0,79941.0,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,902,2,984,1,-2.5344742412103693,-2.1117260108699822,-1.6873832082513172,0.3892875462779172
2,7500.0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,247,1,122,2,1.5683975475451382,-0.7214624345887454,3.775087734695213,-0.4705452869269085
0,41728.0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,502,3,55,3,2.5430192107812806,-0.7757064150523907,0.11438478597279222,1.930905027300381
0,65486.0,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,1062,0,507,2,-1.398631985136503,-0.7092579485921985,-2.080084805217209,-1.8804451115266276
1,79143.0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,305,1,1693,2,-4.00711253411305,-0.04781490349729475,0.6381294188670142,-0.5935088340547506
0,35790.0,1,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,390,2,72,2,1.8671321896468458,-1.0695157547113898,0.7099196985301607,0.9195723877717096
0,82582.0,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,910,0,1617,1,-4.055839570610729,-1.8374931069820624,0.40283540881510926,-1.2367670141035598
1,82384.0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,316,3,1957,2,-4.652128985771137,-0.5663415250906849,1.0541814873209285,0.33131865870248317
0,70287.0,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,393,0,1093,1,-3.125880581291346,-1.0327472065815,1.9924301476486133,-0.8911915052646625
0,27938.0,1,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,841,2,29,2,1.5299689570906287,-2.3041628943904517,-0.7584950372305197,-0.6026847226998076
1,75777.0,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,455,2,1438,1,-3.6890790617865403,-1.4774871732591255,1.5309665899748859,-1.1852899672582125
1,67680.0,0,1,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,668,0,606,2,-1.3226271594860572,0.19581431516488715,-0.25599163689125676,-1.6734667244278245
0,70666.0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,521,3,1076,2,-1.6866677617954962,-0.7164645008678775,-0.012101924301414942,0.17518674450992675
0,25721.0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,499,1,34,3,2.074618654779071,-1.2934608876279818,1.6353606179994327,0.18749869685888323
