Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Days,Marital,Spent,Family_Size,col1,col2,col3,col4,clusters
0,58138,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,92,2,1617,1,-2.96024548,0.371238991,3.415068504,1.099018507,3
0,46344,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,938,2,27,3,1.999954135,-0.603915009,-1.615294829,-1.088951019,1
0,71613,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,591,3,776,2,-1.959396187,-0.351828437,-0.325662136,-0.009809818,0
0,26646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,998,3,53,3,2.216570478,-1.3518697,-0.893623582,-0.754793582,1
1,58293,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,742,1,422,3,0.423774516,0.444281229,-0.586865203,0.840325018,1
1,33454,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,575,1,169,3,2.03349382,-0.49634084,0.698188754,-0.302937417,2
1,30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,515,3,46,3,2.27841529,-0.968313495,2.340427509,-0.850029223,2
2,7500,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,310,1,61,2,1.953726876,-1.539752924,1.500989947,1.065432666,2
0,63033,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,677,0,1102,1,-2.209390463,-1.780259339,-0.694964723,0.721776891,0
1,59354,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,677,0,310,3,0.909463333,0.942701367,-0.523842534,-0.696695661,1
0,17323,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,276,1,46,2,1.749810882,-1.467464484,1.311530301,0.651234072,2
1,82800,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,321,2,1315,1,-3.985853758,-0.525420928,2.106162141,-0.575234478,3
0,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,236,3,317,2,0.364983278,-0.48712147,1.16225897,0.618944118,2
2,33812,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,63,2,133,2,1.666273695,-0.92858126,1.355989517,2.150903161,2
